"","Site","State","Tideshed","Acres","Hectares","Treatment","Age_2021","Runnel_Install","Image_Date","UVVR","Timeline","UVVR_Earliest","Veg_Area","Veg_Earliest","Veg_Percent","Veg_PChange","Tideshed_ID","Timeline.Baseline","UVVR.Baseline","BaselineCondition"
"53","Broad Cove","MA",9,1.909,0.773,"Reference",4,2017,2018,0.029,1,0.002,0.751,0.771,97.1539456662354,-2.59,"9",-1,0.033,"Healthy"
"54","Broad Cove","MA",9,1.909,0.773,"Reference",4,2017,2021,0.026,4,0.002,0.753,0.771,97.4126778783959,-2.33,"9",-1,0.033,"Healthy"
"55","Broad Cove","MA",10,1.259,0.51,"Reference",4,2017,2010,0.005,-7,0.005,0.507,0.507,99.4117647058823,NA,"10",-1,0.044,"Healthy"
"56","Broad Cove","MA",10,1.259,0.51,"Reference",4,2017,2012,0.012,-5,0.005,0.504,0.507,98.8235294117647,-0.59,"10",-1,0.044,"Healthy"
"57","Broad Cove","MA",10,1.259,0.51,"Reference",4,2017,2014,0.004,-3,0.005,0.508,0.507,99.6078431372549,0.2,"10",-1,0.044,"Healthy"
"58","Broad Cove","MA",10,1.259,0.51,"Reference",4,2017,2016,0.044,-1,0.005,0.488,0.507,95.6862745098039,-3.73,"10",-1,0.044,"Healthy"
"59","Broad Cove","MA",10,1.259,0.51,"Reference",4,2017,2018,0.059,1,0.005,0.481,0.507,94.3137254901961,-5.1,"10",-1,0.044,"Healthy"
"60","Broad Cove","MA",10,1.259,0.51,"Reference",4,2017,2021,0.055,4,0.005,0.483,0.507,94.7058823529412,-4.71,"10",-1,0.044,"Healthy"
"61","Canochet","RI",1,2.18,0.883,"Reference",6,2015,2010,0.017,-5,0.017,0.868,0.868,98.3012457531144,NA,"11",-1,0.017,"Healthy"
"62","Canochet","RI",1,2.18,0.883,"Reference",6,2015,2012,0.006,-3,0.017,0.878,0.868,99.4337485843715,1.13,"11",-1,0.017,"Healthy"
"63","Canochet","RI",1,2.18,0.883,"Reference",6,2015,2014,0.017,-1,0.017,0.869,0.868,98.4144960362401,0.11,"11",-1,0.017,"Healthy"
"64","Canochet","RI",1,2.18,0.883,"Reference",6,2015,2016,0.052,1,0.017,0.839,0.868,95.0169875424689,-3.28,"11",-1,0.017,"Healthy"
"65","Canochet","RI",1,2.18,0.883,"Reference",6,2015,2018,0.102,3,0.017,0.801,0.868,90.713476783692,-7.59,"11",-1,0.017,"Healthy"
"66","Canochet","RI",1,2.18,0.883,"Reference",6,2015,2021,0.078,6,0.017,0.819,0.868,92.7519818799547,-5.55,"11",-1,0.017,"Healthy"
"67","Canochet","RI",2,8.51,3.191,"No Action",6,2015,2010,0.113,-5,0.113,2.843,2.843,89.0943277969289,NA,"12",-1,0.165,"Degraded"
"68","Canochet","RI",2,8.51,3.191,"No Action",6,2015,2012,0.102,-3,0.113,2.874,2.843,90.0658100908806,0.97,"12",-1,0.165,"Degraded"
"69","Canochet","RI",2,8.51,3.191,"No Action",6,2015,2014,0.165,-1,0.113,2.706,2.843,84.8010028204325,-4.29,"12",-1,0.165,"Degraded"
"70","Canochet","RI",2,8.51,3.191,"No Action",6,2015,2016,0.207,1,0.113,2.606,2.843,81.6671889689752,-7.43,"12",-1,0.165,"Degraded"
"71","Canochet","RI",2,8.51,3.191,"No Action",6,2015,2018,0.277,3,0.113,2.448,2.843,76.7157630836728,-12.38,"12",-1,0.165,"Degraded"
"72","Canochet","RI",2,8.51,3.191,"No Action",6,2015,2021,0.445,6,0.113,2.208,2.843,69.1946098401755,-19.9,"12",-1,0.165,"Degraded"
"73","Canochet","RI",3,3.57,1.6,"Runnel",6,2015,2010,0.016,-5,0.016,1.575,1.575,98.4375,NA,"13",-1,0.018,"Healthy"
"74","Canochet","RI",3,3.57,1.6,"Runnel",6,2015,2012,0.009,-3,0.016,1.586,1.575,99.125,0.69,"13",-1,0.018,"Healthy"
"75","Canochet","RI",3,3.57,1.6,"Runnel",6,2015,2014,0.018,-1,0.016,1.571,1.575,98.1875,-0.25,"13",-1,0.018,"Healthy"
"76","Canochet","RI",3,3.57,1.6,"Runnel",6,2015,2016,0.027,1,0.016,1.555,1.575,97.1875,-1.25,"13",-1,0.018,"Healthy"
"77","Canochet","RI",3,3.57,1.6,"Runnel",6,2015,2018,0.034,3,0.016,1.552,1.575,97,-1.44,"13",-1,0.018,"Healthy"
"78","Canochet","RI",3,3.57,1.6,"Runnel",6,2015,2021,0.023,6,0.016,1.563,1.575,97.6875,-0.75,"13",-1,0.018,"Healthy"
"79","Canochet","RI",4,4.34,1.859,"Runnel",6,2015,2010,0.05,-5,0.05,1.775,1.775,95.4814416352878,NA,"14",-1,0.142,"Degraded"
"80","Canochet","RI",4,4.34,1.859,"Runnel",6,2015,2012,0.015,-3,0.05,1.832,1.775,98.5476062399139,3.07,"14",-1,0.142,"Degraded"
"81","Canochet","RI",4,4.34,1.859,"Runnel",6,2015,2014,0.142,-1,0.05,1.641,1.775,88.2732651963421,-7.21,"14",-1,0.142,"Degraded"
"82","Canochet","RI",4,4.34,1.859,"Runnel",6,2015,2016,0.084,1,0.05,1.723,1.775,92.684238838085,-2.8,"14",-1,0.142,"Degraded"
"83","Canochet","RI",4,4.34,1.859,"Runnel",6,2015,2018,0.016,3,0.05,1.827,1.775,98.2786444324906,2.8,"14",-1,0.142,"Degraded"
"84","Canochet","RI",4,4.34,1.859,"Runnel",6,2015,2021,0.053,6,0.05,1.765,1.775,94.9435180204411,-0.54,"14",-1,0.142,"Degraded"
"85","Essex","MA",1,1.056,0.428,"Reference",-1,2022,2012,0.089,-10,0.089,0.392,0.392,91.588785046729,NA,"15",-1,0.008,"Healthy"
"86","Essex","MA",1,1.056,0.428,"Reference",-1,2022,2014,0.091,-8,0.089,0.392,0.392,91.588785046729,0,"15",-1,0.008,"Healthy"
"87","Essex","MA",1,1.056,0.428,"Reference",-1,2022,2016,0.088,-6,0.089,0.393,0.392,91.8224299065421,0.23,"15",-1,0.008,"Healthy"
"88","Essex","MA",1,1.056,0.428,"Reference",-1,2022,2018,0.081,-4,0.089,0.396,0.392,92.5233644859813,0.93,"15",-1,0.008,"Healthy"
"89","Essex","MA",1,1.056,0.428,"Reference",-1,2022,2021,0.008,-1,0.089,0.396,0.392,92.5233644859813,0.93,"15",-1,0.008,"Healthy"
"90","Essex","MA",2,4.472,1.811,"No Action",-1,2022,2012,0.197,-10,0.197,1.513,1.513,83.5450027609056,NA,"16",-1,0.165,"Degraded"
"91","Essex","MA",2,4.472,1.811,"No Action",-1,2022,2014,0.153,-8,0.197,1.571,1.513,86.7476532302595,3.2,"16",-1,0.165,"Degraded"
"92","Essex","MA",2,4.472,1.811,"No Action",-1,2022,2016,0.158,-6,0.197,1.564,1.513,86.3611264494754,2.82,"16",-1,0.165,"Degraded"
"93","Essex","MA",2,4.472,1.811,"No Action",-1,2022,2018,0.163,-4,0.197,1.557,1.513,85.9745996686913,2.43,"16",-1,0.165,"Degraded"
"94","Essex","MA",2,4.472,1.811,"No Action",-1,2022,2021,0.165,-1,0.197,1.554,1.513,85.8089453340696,2.26,"16",-1,0.165,"Degraded"
"95","Essex","MA",4,3.177,1.287,"Runnel",-1,2022,2012,0.224,-10,0.224,1.051,1.051,81.6627816627817,NA,"18",-1,0.213,"Degraded"
"96","Essex","MA",4,3.177,1.287,"Runnel",-1,2022,2014,0.235,-8,0.224,1.042,1.051,80.963480963481,-0.7,"18",-1,0.213,"Degraded"
"97","Essex","MA",4,3.177,1.287,"Runnel",-1,2022,2016,0.207,-6,0.224,1.066,1.051,82.8282828282828,1.17,"18",-1,0.213,"Degraded"
"98","Essex","MA",4,3.177,1.287,"Runnel",-1,2022,2018,0.211,-4,0.224,1.063,1.051,82.5951825951826,0.93,"18",-1,0.213,"Degraded"
"99","Essex","MA",4,3.177,1.287,"Runnel",-1,2022,2021,0.213,-1,0.224,1.06,1.051,82.3620823620824,0.7,"18",-1,0.213,"Degraded"
"100","Essex","MA",6,4.913,1.99,"Runnel",4,2017,2010,0.592,-7,0.592,1.25,1.25,62.8140703517588,NA,"20",-1,0.606,"Degraded"
"101","Essex","MA",6,4.913,1.99,"Runnel",4,2017,2012,0.608,-5,0.592,1.237,1.25,62.1608040201005,-0.65,"20",-1,0.606,"Degraded"
"102","Essex","MA",6,4.913,1.99,"Runnel",4,2017,2014,0.625,-3,0.592,1.225,1.25,61.5577889447236,-1.26,"20",-1,0.606,"Degraded"
"103","Essex","MA",6,4.913,1.99,"Runnel",4,2017,2016,0.606,-1,0.592,1.239,1.25,62.2613065326633,-0.55,"20",-1,0.606,"Degraded"
"104","Essex","MA",6,4.913,1.99,"Runnel",4,2017,2018,0.513,1,0.592,1.315,1.25,66.0804020100502,3.27,"20",-1,0.606,"Degraded"
"105","Essex","MA",6,4.913,1.99,"Runnel",4,2017,2021,0.343,4,0.592,1.511,1.25,75.929648241206,13.12,"20",-1,0.606,"Degraded"
"106","Essex","MA",7,5.483,2.221,"Reference",4,2017,2010,0.069,-7,0.069,2.077,2.077,93.5164340387213,NA,"21",-1,0.092,"Healthy"
"107","Essex","MA",7,5.483,2.221,"Reference",4,2017,2012,0.067,-5,0.069,2.082,2.077,93.7415578568212,0.23,"21",-1,0.092,"Healthy"
"108","Essex","MA",7,5.483,2.221,"Reference",4,2017,2014,0.072,-3,0.069,2.071,2.077,93.2462854570013,-0.27,"21",-1,0.092,"Healthy"
"109","Essex","MA",7,5.483,2.221,"Reference",4,2017,2016,0.092,-1,0.069,2.034,2.077,91.5803692030617,-1.94,"21",-1,0.092,"Healthy"
"110","Essex","MA",7,5.483,2.221,"Reference",4,2017,2018,0.066,1,0.069,2.083,2.077,93.7865826204413,0.27,"21",-1,0.092,"Healthy"
"111","Essex","MA",7,5.483,2.221,"Reference",4,2017,2021,0.071,4,0.069,2.075,2.077,93.4263845114813,-0.09,"21",-1,0.092,"Healthy"
"112","Essex","MA",8,7.76,3.143,"Reference",4,2017,2010,0.072,-7,0.072,2.933,2.933,93.3184855233853,NA,"22",-1,0.074,"Healthy"
"113","Essex","MA",8,7.76,3.143,"Reference",4,2017,2012,0.065,-5,0.072,2.951,2.933,93.891186764238,0.57,"22",-1,0.074,"Healthy"
"114","Essex","MA",8,7.76,3.143,"Reference",4,2017,2014,0.069,-3,0.072,2.94,2.933,93.5412026726058,0.22,"22",-1,0.074,"Healthy"
"115","Essex","MA",8,7.76,3.143,"Reference",4,2017,2016,0.074,-1,0.072,2.927,2.933,93.1275851097677,-0.19,"22",-1,0.074,"Healthy"
"116","Essex","MA",8,7.76,3.143,"Reference",4,2017,2018,0.074,1,0.072,2.926,2.933,93.0957683741648,-0.22,"22",-1,0.074,"Healthy"
"117","Essex","MA",8,7.76,3.143,"Reference",4,2017,2021,0.073,4,0.072,2.929,2.933,93.1912185809736,-0.13,"22",-1,0.074,"Healthy"
"118","Essex","MA",9,2.761,1.118,"No Action",4,2017,2010,0.436,-7,0.436,0.779,0.779,69.6779964221825,NA,"23",-1,0.458,"Degraded"
"119","Essex","MA",9,2.761,1.118,"No Action",4,2017,2012,0.41,-5,0.436,0.793,0.779,70.9302325581395,1.25,"23",-1,0.458,"Degraded"
"120","Essex","MA",9,2.761,1.118,"No Action",4,2017,2014,0.42,-3,0.436,0.788,0.779,70.4830053667263,0.81,"23",-1,0.458,"Degraded"
"121","Essex","MA",9,2.761,1.118,"No Action",4,2017,2016,0.458,-1,0.436,0.767,0.779,68.6046511627907,-1.07,"23",-1,0.458,"Degraded"
"122","Essex","MA",9,2.761,1.118,"No Action",4,2017,2018,0.358,1,0.436,0.823,0.779,73.613595706619,3.94,"23",-1,0.458,"Degraded"
"123","Essex","MA",9,2.761,1.118,"No Action",4,2017,2021,0.316,4,0.436,0.855,0.779,76.4758497316637,6.8,"23",-1,0.458,"Degraded"
"124","Essex","MA",12,4.096,1.659,"No Action",-2,2017,2014,0.092,-9,0.092,1.519,1.519,91.5611814345991,NA,"26",-2,0.094,"Healthy"
"125","Essex","MA",12,4.096,1.659,"No Action",-2,2017,2016,0.1,-7,0.092,1.508,1.519,90.8981314044605,-0.66,"26",-2,0.094,"Healthy"
"126","Essex","MA",12,4.096,1.659,"No Action",-2,2017,2018,0.093,-5,0.092,1.518,1.519,91.500904159132,-0.06,"26",-2,0.094,"Healthy"
"127","Essex","MA",12,4.096,1.659,"No Action",-2,2017,2021,0.094,-2,0.092,1.514,1.519,91.2597950572634,-0.3,"26",-2,0.094,"Healthy"
"128","Essex","MA",13,3.146,1.274,"Runnel",-2,2023,2014,0.512,-9,0.512,0.843,0.843,66.1695447409733,NA,"27",-2,0.603,"Degraded"
"129","Essex","MA",13,3.146,1.274,"Runnel",-2,2023,2016,0.623,-7,0.512,0.785,0.843,61.6169544740973,-4.55,"27",-2,0.603,"Degraded"
"130","Essex","MA",13,3.146,1.274,"Runnel",-2,2023,2018,0.57,-5,0.512,0.811,0.843,63.6577708006279,-2.51,"27",-2,0.603,"Degraded"
"131","Essex","MA",13,3.146,1.274,"Runnel",-2,2023,2021,0.603,-2,0.512,0.793,0.843,62.2448979591837,-3.92,"27",-2,0.603,"Degraded"
"132","Essex","MA",15,3.448,1.396,"Reference",-2,2023,2014,0.112,-9,0.112,1.256,1.256,89.9713467048711,NA,"29",-2,0.094,"Healthy"
"133","Essex","MA",15,3.448,1.396,"Reference",-2,2023,2016,0.096,-7,0.112,1.274,1.256,91.2607449856734,1.29,"29",-2,0.094,"Healthy"
"134","Essex","MA",15,3.448,1.396,"Reference",-2,2023,2018,0.091,-5,0.112,1.28,1.256,91.6905444126075,1.72,"29",-2,0.094,"Healthy"
"135","Essex","MA",15,3.448,1.396,"Reference",-2,2023,2021,0.094,-2,0.112,1.279,1.256,91.6189111747851,1.65,"29",-2,0.094,"Healthy"
"136","Essex","MA",17,5.208,2.109,"No Action",-2,2023,2014,0.154,-9,0.154,1.827,1.827,86.6287339971551,NA,"31",-2,0.189,"Degraded"
"137","Essex","MA",17,5.208,2.109,"No Action",-2,2023,2016,0.174,-7,0.154,1.796,1.827,85.1588430535799,-1.47,"31",-2,0.189,"Degraded"
"138","Essex","MA",17,5.208,2.109,"No Action",-2,2023,2018,0.169,-5,0.154,1.805,1.827,85.5855855855856,-1.04,"31",-2,0.189,"Degraded"
"139","Essex","MA",17,5.208,2.109,"No Action",-2,2023,2021,0.189,-2,0.154,1.772,1.827,84.0208629682314,-2.61,"31",-2,0.189,"Degraded"
"140","Essex","MA",20,2.51,1.017,"Reference",-2,2023,2014,0.053,-9,0.053,0.965,0.965,94.8869223205507,NA,"34",-2,0.052,"Healthy"
"141","Essex","MA",20,2.51,1.017,"Reference",-2,2023,2016,0.02,-7,0.053,0.997,0.965,98.0334316617503,3.15,"34",-2,0.052,"Healthy"
"142","Essex","MA",20,2.51,1.017,"Reference",-2,2023,2018,0.028,-5,0.053,0.989,0.965,97.2468043264504,2.36,"34",-2,0.052,"Healthy"
"143","Essex","MA",20,2.51,1.017,"Reference",-2,2023,2021,0.052,-2,0.053,0.965,0.965,94.8869223205507,0,"34",-2,0.052,"Healthy"
"144","Ipswich","MA",1,2.536,1.027,"No Action",-2,2023,2014,0.068,-9,0.068,0.961,0.961,93.5735150925024,NA,"38",-2,0.135,"Degraded"
"145","Ipswich","MA",1,2.536,1.027,"No Action",-2,2023,2016,0.021,-7,0.068,1.006,0.961,97.9552093476144,4.38,"38",-2,0.135,"Degraded"
"146","Ipswich","MA",1,2.536,1.027,"No Action",-2,2023,2018,0.039,-5,0.068,0.988,0.961,96.2025316455696,2.63,"38",-2,0.135,"Degraded"
"147","Ipswich","MA",1,2.536,1.027,"No Action",-2,2023,2021,0.135,-2,0.068,0.905,0.961,88.1207400194742,-5.45,"38",-2,0.135,"Degraded"
"148","Ipswich","MA",2,6.179,2.503,"No Action",-2,2023,2014,0.094,-9,0.094,2.288,2.288,91.410307630843,NA,"39",-2,0.092,"Healthy"
"149","Ipswich","MA",2,6.179,2.503,"No Action",-2,2023,2016,0.047,-7,0.094,2.391,2.288,95.5253695565322,4.12,"39",-2,0.092,"Healthy"
"150","Ipswich","MA",2,6.179,2.503,"No Action",-2,2023,2018,0.058,-5,0.094,2.364,2.288,94.4466640031962,3.04,"39",-2,0.092,"Healthy"
"151","Ipswich","MA",2,6.179,2.503,"No Action",-2,2023,2021,0.092,-2,0.094,2.291,2.288,91.5301638034359,0.12,"39",-2,0.092,"Healthy"
"152","Ipswich","MA",7,5.554,2.249,"Runnel",-2,2023,2014,0.047,-9,0.047,2.149,2.149,95.5535793686083,NA,"44",-2,0.043,"Healthy"
"153","Ipswich","MA",7,5.554,2.249,"Runnel",-2,2023,2016,0.037,-7,0.047,2.169,2.149,96.4428634948866,0.89,"44",-2,0.043,"Healthy"
"154","Ipswich","MA",7,5.554,2.249,"Runnel",-2,2023,2018,0.044,-5,0.047,2.155,2.149,95.8203646064918,0.27,"44",-2,0.043,"Healthy"
"155","Ipswich","MA",7,5.554,2.249,"Runnel",-2,2023,2021,0.043,-2,0.047,2.157,2.149,95.9092930191196,0.36,"44",-2,0.043,"Healthy"
"156","Ipswich","MA",8,3.629,1.47,"Runnel",-2,2023,2014,0.076,-9,0.076,1.366,1.366,92.9251700680272,NA,"45",-2,0.124,"Healthy"
"157","Ipswich","MA",8,3.629,1.47,"Runnel",-2,2023,2016,0.075,-7,0.076,1.368,1.366,93.0612244897959,0.14,"45",-2,0.124,"Healthy"
"158","Ipswich","MA",8,3.629,1.47,"Runnel",-2,2023,2018,0.08,-5,0.076,1.361,1.366,92.5850340136054,-0.34,"45",-2,0.124,"Healthy"
"159","Ipswich","MA",8,3.629,1.47,"Runnel",-2,2023,2021,0.124,-2,0.076,1.308,1.366,88.9795918367347,-3.95,"45",-2,0.124,"Healthy"
"160","Ipswich","MA",9,3.271,1.325,"No Action",-2,2023,2014,0.031,-9,0.031,1.285,1.285,96.9811320754717,NA,"46",-2,0.027,"Healthy"
"161","Ipswich","MA",9,3.271,1.325,"No Action",-2,2023,2016,0.025,-7,0.031,1.293,1.285,97.5849056603774,0.6,"46",-2,0.027,"Healthy"
"162","Ipswich","MA",9,3.271,1.325,"No Action",-2,2023,2018,0.028,-5,0.031,1.289,1.285,97.2830188679245,0.3,"46",-2,0.027,"Healthy"
"163","Ipswich","MA",9,3.271,1.325,"No Action",-2,2023,2021,0.027,-2,0.031,1.29,1.285,97.3584905660377,0.38,"46",-2,0.027,"Healthy"
"164","Ipswich","MA",10,4.762,1.929,"Reference",-2,2023,2014,0.079,-9,0.079,1.787,1.787,92.6386728875065,NA,"47",-2,0.076,"Healthy"
"165","Ipswich","MA",10,4.762,1.929,"Reference",-2,2023,2016,0.064,-7,0.079,1.813,1.787,93.9865215137377,1.35,"47",-2,0.076,"Healthy"
"166","Ipswich","MA",10,4.762,1.929,"Reference",-2,2023,2018,0.054,-5,0.079,1.83,1.787,94.8678071539658,2.23,"47",-2,0.076,"Healthy"
